Target_Protein,StringID_Target,Interactor,StringID_Interactor,String_Score,escore,dscore,tscore,PDB_ID,Experiment_Type,Resolution
BARD1,9606.ENSP00000260947,H2BC12,9606.ENSP00000349430,0.955,0.905,0.5,0.119,7JZV,Electron Microscopy,3.9
BARD1,9606.ENSP00000260947,MDC1,9606.ENSP00000365588,0.954,0.618,0.5,0.767,NA,NA,NA
BARD1,9606.ENSP00000260947,UBB,9606.ENSP00000478771,0.954,0.906,0.5,0.093,"7LYC, 7E8I","Electron Microscopy, Electron Microscopy","2.94, 3.1"
BARD1,9606.ENSP00000260947,RPS27A,9606.ENSP00000272317,0.953,0.906,0.5,0.087,NA,NA,NA
BARD1,9606.ENSP00000260947,UBE2D1,9606.ENSP00000363019,0.953,0.832,0.0,0.729,NA,NA,NA
BARD1,9606.ENSP00000260947,H2AC13,9606.ENSP00000351589,0.953,0.903,0.5,0.093,8OFF,Electron Microscopy,3.4
BARD1,9606.ENSP00000260947,UBA52,9606.ENSP00000388107,0.953,0.903,0.5,0.121,NA,NA,NA
BARD1,9606.ENSP00000260947,H2AC6,9606.ENSP00000367022,0.951,0.903,0.5,0.072,NA,NA,NA
BARD1,9606.ENSP00000260947,H3C1,9606.ENSP00000480826,0.946,0.942,0.0,0.102,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,ATM,9606.ENSP00000278616,0.946,0.07,0.5,0.892,NA,NA,NA
BARD1,9606.ENSP00000260947,RAD51D,9606.ENSP00000466399,0.94,0.045,0.5,0.884,NA,NA,NA
BARD1,9606.ENSP00000260947,CHEK2,9606.ENSP00000372023,0.937,0.072,0.5,0.863,NA,NA,NA
BARD1,9606.ENSP00000260947,UBE2C,9606.ENSP00000348838,0.936,0.108,0.9,0.248,NA,NA,NA
BARD1,9606.ENSP00000260947,XRCC6,9606.ENSP00000352257,0.936,0.292,0.5,0.83,NA,NA,NA
BARD1,9606.ENSP00000260947,H3C12,9606.ENSP00000352252,0.935,0.908,0.0,0.301,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,RING1,9606.ENSP00000363787,0.926,0.042,0.9,0.294,NA,NA,NA
BARD1,9606.ENSP00000260947,MSH6,9606.ENSP00000234420,0.925,0.526,0.0,0.829,NA,NA,NA
BARD1,9606.ENSP00000260947,BMI1,9606.ENSP00000365851,0.924,0.0,0.9,0.278,NA,NA,NA
BARD1,9606.ENSP00000260947,CDC16,9606.ENSP00000348554,0.92,0.091,0.9,0.162,NA,NA,NA
BARD1,9606.ENSP00000260947,ANAPC11,9606.ENSP00000349957,0.917,0.071,0.9,0.185,NA,NA,NA
BARD1,9606.ENSP00000260947,H3C2,9606.ENSP00000484841,0.916,0.905,0.0,0.111,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,ANAPC2,9606.ENSP00000314004,0.916,0.091,0.9,0.155,NA,NA,NA
BARD1,9606.ENSP00000260947,ANAPC4,9606.ENSP00000426654,0.916,0.125,0.9,0.08,NA,NA,NA
BARD1,9606.ENSP00000260947,ANAPC5,9606.ENSP00000261819,0.915,0.055,0.9,0.164,NA,NA,NA
BARD1,9606.ENSP00000260947,CDC27,9606.ENSP00000434614,0.914,0.106,0.9,0.106,NA,NA,NA
BARD1,9606.ENSP00000260947,H3C10,9606.ENSP00000358160,0.914,0.905,0.0,0.127,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,H3C3,9606.ENSP00000484658,0.914,0.905,0.0,0.117,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,H4C3,9606.ENSP00000367034,0.913,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H3C6,9606.ENSP00000489282,0.913,0.905,0.0,0.116,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,CDC23,9606.ENSP00000378350,0.913,0.096,0.9,0.09,NA,NA,NA
BARD1,9606.ENSP00000260947,H2AC17,9606.ENSP00000352627,0.912,0.903,0.0,0.101,8OFF,Electron Microscopy,3.4
BARD1,9606.ENSP00000260947,H3C8,9606.ENSP00000484638,0.912,0.905,0.0,0.098,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,H3C4,9606.ENSP00000366999,0.911,0.905,0.0,0.096,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,CUL7,9606.ENSP00000438788,0.911,0.067,0.9,0.132,NA,NA,NA
BARD1,9606.ENSP00000260947,H3C7,9606.ENSP00000484095,0.911,0.905,0.0,0.097,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,H3C11,9606.ENSP00000483283,0.911,0.905,0.0,0.099,"7LYB, 8OFF, 7LYC","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 3.4, 2.94"
BARD1,9606.ENSP00000260947,ANAPC1,9606.ENSP00000339109,0.91,0.055,0.9,0.101,NA,NA,NA
BARD1,9606.ENSP00000260947,H4C2,9606.ENSP00000366974,0.91,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,PCGF2,9606.ENSP00000482063,0.91,0.0,0.9,0.137,NA,NA,NA
BARD1,9606.ENSP00000260947,CBX8,9606.ENSP00000269385,0.909,0.0,0.9,0.128,NA,NA,NA
BARD1,9606.ENSP00000260947,H4C13,9606.ENSP00000480960,0.909,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H2AC4,9606.ENSP00000483842,0.909,0.905,0.0,0.084,"7LYB, 7LYC","Electron Microscopy, Electron Microscopy","3.28, 2.94"
BARD1,9606.ENSP00000260947,H2AC16,9606.ENSP00000482538,0.908,0.903,0.0,0.072,8OFF,Electron Microscopy,3.4
BARD1,9606.ENSP00000260947,H2AC11,9606.ENSP00000352119,0.908,0.903,0.0,0.072,8OFF,Electron Microscopy,3.4
BARD1,9606.ENSP00000260947,RNF8,9606.ENSP00000362578,0.908,0.292,0.5,0.749,NA,NA,NA
BARD1,9606.ENSP00000260947,H4C4,9606.ENSP00000479461,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H4C15,9606.ENSP00000462355,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H4C14,9606.ENSP00000462667,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H4C1,9606.ENSP00000479106,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H4C12,9606.ENSP00000479794,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,CDC26,9606.ENSP00000363322,0.907,0.0,0.9,0.109,NA,NA,NA
BARD1,9606.ENSP00000260947,H4C11,9606.ENSP00000347168,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H4C8,9606.ENSP00000489236,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H4C5,9606.ENSP00000484789,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H4-16,9606.ENSP00000443017,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,H4C9,9606.ENSP00000481486,0.907,0.905,0.0,0.064,"7LYB, 7LYC, 7JZV","Electron Microscopy, Electron Microscopy, Electron Microscopy","3.28, 2.94, 3.9"
BARD1,9606.ENSP00000260947,ANAPC7,9606.ENSP00000394394,0.906,0.063,0.9,0.072,NA,NA,NA
BARD1,9606.ENSP00000260947,H2AC15,9606.ENSP00000482431,0.906,0.903,0.0,0.072,8OFF,Electron Microscopy,3.4
BARD1,9606.ENSP00000260947,PHC1,9606.ENSP00000437659,0.905,0.062,0.9,0.0,NA,NA,NA
BARD1,9606.ENSP00000260947,BCOR,9606.ENSP00000367705,0.905,0.065,0.9,0.045,NA,NA,NA
BARD1,9606.ENSP00000260947,XRCC3,9606.ENSP00000451974,0.905,0.045,0.5,0.816,NA,NA,NA
BARD1,9606.ENSP00000260947,ANAPC10,9606.ENSP00000478501,0.904,0.053,0.9,0.047,NA,NA,NA
BARD1,9606.ENSP00000260947,CBX2,9606.ENSP00000308750,0.904,0.0,0.9,0.0,NA,NA,NA
BARD1,9606.ENSP00000260947,CBX4,9606.ENSP00000269397,0.903,0.0,0.9,0.073,NA,NA,NA
BARD1,9606.ENSP00000260947,ANAPC16,9606.ENSP00000477760,0.903,0.0,0.9,0.072,NA,NA,NA
BARD1,9606.ENSP00000260947,ANAPC13,9606.ENSP00000421842,0.902,0.0,0.9,0.063,NA,NA,NA
BARD1,9606.ENSP00000260947,PHC2,9606.ENSP00000257118,0.901,0.0,0.9,0.055,NA,NA,NA
BARD1,9606.ENSP00000260947,PCGF6,9606.ENSP00000358862,0.901,0.0,0.9,0.0,NA,NA,NA
BARD1,9606.ENSP00000260947,ANAPC15,9606.ENSP00000437360,0.901,0.0,0.9,0.055,NA,NA,NA
BARD1,9606.ENSP00000260947,PHC3,9606.ENSP00000420294,0.9,0.0,0.9,0.0,NA,NA,NA
