Target_protein,Target_Uniprot_AC,StringID_Target,Interactor,Interactor_UniProt_AC,StringID_Interactor,String_score,Experimental_score,Database_score,Textmining_score,PDB_ID,Experiment_Type,Resolution
BARD1,Q99728,9606.ENSP00000260947,H3C3,P68431,9606.ENSP00000484658,0.914,0.905,0.0,0.117,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H3C10,P68431,9606.ENSP00000358160,0.914,0.905,0.0,0.127,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H3C3,P68431,9606.ENSP00000484658,0.914,0.905,0.0,0.117,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C3,P62805,9606.ENSP00000367034,0.913,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C3,P62805,9606.ENSP00000367034,0.913,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C3,P62805,9606.ENSP00000367034,0.913,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C3,P62805,9606.ENSP00000367034,0.913,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H3C6,P68431,9606.ENSP00000489282,0.913,0.905,0.0,0.116,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H3C6,P68431,9606.ENSP00000489282,0.913,0.905,0.0,0.116,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,CDC23,Q9UJX2,9606.ENSP00000378350,0.913,0.096,0.9,0.09,,,
BARD1,Q99728,9606.ENSP00000260947,H2AC17,P0C0S8,9606.ENSP00000352627,0.912,0.903,0.0,0.101,,,
BARD1,Q99728,9606.ENSP00000260947,H3C8,P68431,9606.ENSP00000484638,0.912,0.905,0.0,0.098,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H3C8,P68431,9606.ENSP00000484638,0.912,0.905,0.0,0.098,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H3C4,P68431,9606.ENSP00000366999,0.911,0.905,0.0,0.096,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H3C7,P68431,9606.ENSP00000484095,0.911,0.905,0.0,0.097,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H3C11,P68431,9606.ENSP00000483283,0.911,0.905,0.0,0.099,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H3C4,P68431,9606.ENSP00000366999,0.911,0.905,0.0,0.096,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H3C7,P68431,9606.ENSP00000484095,0.911,0.905,0.0,0.097,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H3C11,P68431,9606.ENSP00000483283,0.911,0.905,0.0,0.099,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,CUL7,Q14999,9606.ENSP00000438788,0.911,0.067,0.9,0.132,,,
BARD1,Q99728,9606.ENSP00000260947,PCGF2,P35227,9606.ENSP00000482063,0.91,0.0,0.9,0.137,,,
BARD1,Q99728,9606.ENSP00000260947,H4C2,P62805,9606.ENSP00000366974,0.91,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C2,P62805,9606.ENSP00000366974,0.91,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C2,P62805,9606.ENSP00000366974,0.91,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C2,P62805,9606.ENSP00000366974,0.91,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,ANAPC1,Q9H1A4,9606.ENSP00000339109,0.91,0.055,0.9,0.101,,,
BARD1,Q99728,9606.ENSP00000260947,H2AC4,P04908,9606.ENSP00000483842,0.909,0.905,0.0,0.084,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H2AC4,P04908,9606.ENSP00000483842,0.909,0.905,0.0,0.084,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H2AC4,P04908,9606.ENSP00000483842,0.909,0.905,0.0,0.084,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C13,P62805,9606.ENSP00000480960,0.909,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C13,P62805,9606.ENSP00000480960,0.909,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C13,P62805,9606.ENSP00000480960,0.909,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C13,P62805,9606.ENSP00000480960,0.909,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,CBX8,Q9HC52,9606.ENSP00000269385,0.909,0.0,0.9,0.128,,,
BARD1,Q99728,9606.ENSP00000260947,RNF8,O76064,9606.ENSP00000362578,0.908,0.292,0.5,0.749,,,
BARD1,Q99728,9606.ENSP00000260947,H2AC16,P0C0S8,9606.ENSP00000482538,0.908,0.903,0.0,0.072,,,
BARD1,Q99728,9606.ENSP00000260947,H2AC11,P0C0S8,9606.ENSP00000352119,0.908,0.903,0.0,0.072,,,
BARD1,Q99728,9606.ENSP00000260947,H4C4,P62805,9606.ENSP00000479461,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C15,P62805,9606.ENSP00000462355,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C14,P62805,9606.ENSP00000462667,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C1,P62805,9606.ENSP00000479106,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C12,P62805,9606.ENSP00000479794,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C11,P62805,9606.ENSP00000347168,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C8,P62805,9606.ENSP00000489236,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C5,P62805,9606.ENSP00000484789,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4-16,P62805,9606.ENSP00000443017,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C9,P62805,9606.ENSP00000481486,0.907,0.905,0.0,0.064,7JZV,ELECTRON MICROSCOPY,3.9
BARD1,Q99728,9606.ENSP00000260947,H4C4,P62805,9606.ENSP00000479461,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C15,P62805,9606.ENSP00000462355,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C14,P62805,9606.ENSP00000462667,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C1,P62805,9606.ENSP00000479106,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C12,P62805,9606.ENSP00000479794,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C11,P62805,9606.ENSP00000347168,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C8,P62805,9606.ENSP00000489236,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C5,P62805,9606.ENSP00000484789,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4-16,P62805,9606.ENSP00000443017,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C9,P62805,9606.ENSP00000481486,0.907,0.905,0.0,0.064,7LYB,ELECTRON MICROSCOPY,3.28
BARD1,Q99728,9606.ENSP00000260947,H4C4,P62805,9606.ENSP00000479461,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C15,P62805,9606.ENSP00000462355,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C14,P62805,9606.ENSP00000462667,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C1,P62805,9606.ENSP00000479106,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C12,P62805,9606.ENSP00000479794,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C11,P62805,9606.ENSP00000347168,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C8,P62805,9606.ENSP00000489236,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C5,P62805,9606.ENSP00000484789,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4-16,P62805,9606.ENSP00000443017,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C9,P62805,9606.ENSP00000481486,0.907,0.905,0.0,0.064,7LYC,ELECTRON MICROSCOPY,2.94
BARD1,Q99728,9606.ENSP00000260947,H4C4,P62805,9606.ENSP00000479461,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C15,P62805,9606.ENSP00000462355,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C14,P62805,9606.ENSP00000462667,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C1,P62805,9606.ENSP00000479106,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C12,P62805,9606.ENSP00000479794,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C11,P62805,9606.ENSP00000347168,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C8,P62805,9606.ENSP00000489236,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C5,P62805,9606.ENSP00000484789,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4-16,P62805,9606.ENSP00000443017,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,H4C9,P62805,9606.ENSP00000481486,0.907,0.905,0.0,0.064,8GRQ,ELECTRON MICROSCOPY,3.87
BARD1,Q99728,9606.ENSP00000260947,CDC26,Q8NHZ8,9606.ENSP00000363322,0.907,0.0,0.9,0.109,,,
BARD1,Q99728,9606.ENSP00000260947,H2AC15,P0C0S8,9606.ENSP00000482431,0.906,0.903,0.0,0.072,,,
BARD1,Q99728,9606.ENSP00000260947,ANAPC7,Q9UJX3,9606.ENSP00000394394,0.906,0.063,0.9,0.072,,,
BARD1,Q99728,9606.ENSP00000260947,XRCC3,O43542,9606.ENSP00000451974,0.905,0.045,0.5,0.816,,,
BARD1,Q99728,9606.ENSP00000260947,PHC1,P78364,9606.ENSP00000437659,0.905,0.062,0.9,0.0,,,
BARD1,Q99728,9606.ENSP00000260947,BCOR,Q6W2J9,9606.ENSP00000367705,0.905,0.065,0.9,0.045,,,
BARD1,Q99728,9606.ENSP00000260947,CBX2,Q14781,9606.ENSP00000308750,0.904,0.0,0.9,0.0,,,
BARD1,Q99728,9606.ENSP00000260947,ANAPC10,Q9UM13,9606.ENSP00000478501,0.904,0.053,0.9,0.047,,,
BARD1,Q99728,9606.ENSP00000260947,CBX4,O00257,9606.ENSP00000269397,0.903,0.0,0.9,0.073,,,
BARD1,Q99728,9606.ENSP00000260947,ANAPC16,Q96DE5,9606.ENSP00000477760,0.903,0.0,0.9,0.072,,,
BARD1,Q99728,9606.ENSP00000260947,ANAPC13,Q9BS18,9606.ENSP00000421842,0.902,0.0,0.9,0.063,,,
BARD1,Q99728,9606.ENSP00000260947,ANAPC15,P60006,9606.ENSP00000437360,0.901,0.0,0.9,0.055,,,
BARD1,Q99728,9606.ENSP00000260947,PHC2,Q8IXK0,9606.ENSP00000257118,0.901,0.0,0.9,0.055,,,
BARD1,Q99728,9606.ENSP00000260947,PCGF6,Q9BYE7,9606.ENSP00000358862,0.901,0.0,0.9,0.0,,,
BARD1,Q99728,9606.ENSP00000260947,PHC3,Q8NDX5,9606.ENSP00000420294,0.9,0.0,0.9,0.0,,,
